Lineage,Tip
L.1,T96
L.1,T27
L.1,T43
L.1,T1
L.1,T11
L.1,T55
L.1,T22
L.1,T59
L.1,T20
L.1,T91
L.1,T85
L.1,T38
L.1,T62
L.1,T78
L.1,T100
L.1,T18
L.1,T2
L.1,T77
L.1,T99
L.1,T36
L.1,T45
L.1,T73
L.1,T42
L.1,T12
L.1,T44
L.1,T15
L.1,T64
L.1,T93
L.1,T46
L.1,T23
L.1,T54
L.1,T28
L.1,T8
L.1,T88
L.1,T75
L.1,T87
L.1,T19
L.1,T47
L.1,T97
L.1,T35
L.1,T89
L.1,T60
L.1,T76
L.1,T79
L.1,T67
L.1,T84
L.1,T34
L.1,T90
L.1,T51
L.1,T82
L.1,T40
L.1,T29
L.1,T80
L.1,T53
L.1,T9
L.1,T68
L.1,T41
L.1,T16
L.1,T21
L.1,T61
L.1,T49
L.1,T37
L.1,T83
L.1,T7
L.1,T69
L.1,T6
L.1,T95
L.1,T25
L.1,T17
L.1,T4
L.1,T70
L.1,T58
L.1,T32
L.1,T56
L.1,T33
L.1,T24
L.1,T30
L.1,T66
L.1,T81
L.1,T86
L.1,T57
L.1,T31
L.1,T39
L.1,T3
L.1,T14
L.1.1,T62
L.1.1,T78
L.1.1,T100
L.1.1,T18
L.1.1,T2
L.1.1,T77
L.1.1,T41
L.1.1,T60
L.1.1,T79
L.1.1,T25
L.1.1,T38
L.1.1,T17
L.1.1,T54
L.1.1,T85
L.1.1,T24
L.1.1,T4
L.1.1,T91
L.1.1.1,T4
L.1.1.1,T17
L.1.1.1,T25
L.1.1.1,T79
L.1.1.1,T41
L.1.1.1,T60
L.1.1.1,T54
L.1.1.1,T77
L.1.1.1,T18
L.1.1.1,T100
L.1.1.1,T78
L.1.1.1,T62
L.1.1.1,T38
L.1.1.1,T2
L.1.2,T83
L.1.2,T80
L.1.2,T66
L.1.2,T81
L.1.2,T86
L.1.2,T57
L.1.2,T31
L.1.2,T39
L.1.2,T14
L.1.2,T6
L.1.2,T95
L.1.2,T7
L.1.2,T40
L.1.2,T67
L.1.2,T84
L.1.2,T34
L.1.2,T90
L.1.2,T29
L.1.2,T51
L.1.2,T82
L.1.2,T96
L.1.2,T37
L.1.2,T49
L.1.2,T61
L.1.2,T21
L.1.2,T16
L.1.2,T69
L.1.2,T68
L.1.2,T9
L.1.2,T53
L.1.2.1,T39
L.1.2.1,T34
L.1.2.1,T84
L.1.2.1,T67
L.1.2.1,T80
L.1.2.1,T7
L.1.2.1,T95
L.1.2.1,T66
L.1.2.1,T81
L.1.2.1,T86
L.1.2.1,T6
L.1.2.1,T31
L.1.2.1,T14
L.1.2.1,T57
L.1.2.2,T49
L.1.2.2,T96
L.1.2.2,T37
L.1.2.2,T61
L.1.2.2,T21
L.1.2.2,T69
L.1.2.2,T68
L.1.2.2,T16
L.1.2.2,T83
L.1.2.2,T53
L.1.2.2,T29
L.1.2.2,T40
L.1.2.2,T9
L.1.3,T23
L.1.3,T44
L.1.3,T15
L.1.3,T64
L.1.3,T93
L.1.3,T46
L.1.3,T28
L.1.3,T19
L.1.3,T8
L.1.3,T88
L.1.3,T75
L.1.3,T87
L.1.3,T47
L.1.3,T97
L.1.3,T12
L.1.3,T89
L.1.3,T42
L.1.1.1XL.1.3,L.1.1.1XL.1.3_low_1
L.1XL.1.1,L.1XL.1.1_high_1
