Lineage,Tip
L.1,T27
L.1,T67
L.1,T29
L.1,T19
L.1,T98
L.1,T50
L.1,T39
L.1,T71
L.1,T74
L.1,T100
L.1,T38
L.1,T73
L.1,T90
L.1,T62
L.1,T89
L.1,T86
L.1,T77
L.1,T42
L.1,T82
L.1,T84
L.1,T31
L.1,T83
L.1,T35
L.1,T85
L.1,T61
L.1,T60
L.1,T5
L.1,T59
L.1,T47
L.1,T24
L.1,T65
L.1,T10
L.1,T20
L.1,T7
L.1.1,T60
L.1.1,T24
L.1.1,T47
L.1.1,T59
L.1.1,T7
L.1.1,T5
L.1.1,T83
L.1.1,T35
L.1.1,T85
L.1.1,T31
L.1.1,T84
L.1.1,T27
L.1.2,T50
L.1.2,T98
L.1.2,T19
L.1.2,T29
L.1.2,T42
L.1.2,T67
L.1.2,T77
L.1.2,T61
L.1.2,T82
L.1.2,T20
L.1.2,T71
L.2,T2
L.2,T70
L.2,T95
L.2,T53
L.2,T25
L.2,T41
L.2,T96
L.2,T92
L.2,T81
L.2,T30
L.2,T8
L.2,T72
L.2,T18
L.2,T88
L.2,T46
L.2,T21
L.2,T43
L.2,T36
L.2,T40
L.2,T57
L.2,T16
L.2,T79
L.2,T78
L.2,T9
L.2,T52
L.2,T15
L.2,T68
L.2,T14
L.2,T91
L.2,T87
L.2,T97
L.2,T23
L.2,T76
L.2,T6
L.2,T75
L.2,T33
L.2,T49
L.2,T66
L.2.1,T70
L.2.1,T95
L.2.1,T53
L.2.1,T25
L.2.1,T41
L.2.1,T96
L.2.1,T2
L.2.1,T8
L.2.1,T43
L.2.1,T30
L.2.1,T72
L.2.1,T18
L.2.1,T88
L.2.1,T46
L.2.1,T21
L.2.1,T81
L.2.1,T92
L.2.1,T36
L.2.1,T40
L.2.1,T57
L.2.1,T49
L.2.1,T33
L.2.1,T75
L.2.1,T6
L.2.1,T76
L.2.1,T23
L.2.1,T16
L.2.1.1,T57
L.2.1.1,T16
L.2.1.1,T36
L.2.1.1,T95
L.2.1.1,T40
L.2.1.1,T70
L.2.1.1,T33
L.2.1.1,T53
L.2.1.1,T21
L.2.1.1,T75
L.2.1.1,T49
L.2.1.2,T25
L.2.1.2,T88
L.2.1.2,T18
L.2.1.2,T72
L.2.1.2,T8
L.2.1.2,T30
L.2.1.2,T43
L.2.1.2,T92
L.2.1.2,T2
L.2.1.2,T96
L.2.1.2,T41
L.2.1.2,T81
L.2.1.2,T46
L.2.2,T97
L.2.2,T66
L.2.2,T91
L.2.2,T14
L.2.2,T68
L.2.2,T15
L.2.2,T52
L.2.2,T9
L.2.2,T78
L.2.2,T79
L.2.2,T87
L.1XL.2.1.2,L.1XL.2.1.2_low_1
L.1.2XL.2.2,L.1.2XL.2.2_high_1
L.1.2XL.2.1.2,L.1.2XL.2.1.2_high_1
