Lineage,Tip
L.1,T60
L.1,T10
L.1,T66
L.1,T41
L.1,T74
L.1,T65
L.1,T45
L.1,T54
L.1,T97
L.1,T31
L.1,T11
L.1,T63
L.1,T84
L.1,T32
L.1,T64
L.1,T68
L.1,T47
L.1,T86
L.1.1,T86
L.1.1,T45
L.1.1,T54
L.1.1,T97
L.1.1,T11
L.1.1,T31
L.1.1,T84
L.1.1,T32
L.1.1,T64
L.1.1,T68
L.1.1,T63
L.1.1,T47
L.2,T37
L.2,T87
L.2,T90
L.2,T4
L.2,T67
L.2,T100
L.2,T26
L.2,T62
L.2,T39
L.2,T51
L.2,T95
L.2,T98
L.2,T16
L.2,T56
L.2,T59
L.2,T58
L.2,T76
L.2,T72
L.2,T12
L.2,T78
L.2,T1
L.2,T80
L.2,T20
L.2,T96
L.2,T30
L.2,T50
L.2,T43
L.2,T61
L.2,T19
L.2,T3
L.2,T48
L.2,T69
L.2,T35
L.2,T88
L.2,T8
L.2,T7
L.2,T42
L.2,T13
L.2,T21
L.2,T5
L.2,T29
L.2,T18
L.2,T77
L.2,T33
L.2.1,T33
L.2.1,T13
L.2.1,T21
L.2.1,T5
L.2.1,T29
L.2.1,T18
L.2.1,T61
L.2.1,T3
L.2.1,T48
L.2.1,T95
L.2.1,T51
L.2.1,T7
L.2.1,T39
L.2.1,T77
L.2.1,T8
L.2.1,T50
L.2.1,T35
L.2.1,T88
L.2.1.1,T3
L.2.1.1,T77
L.2.1.1,T18
L.2.1.1,T29
L.2.1.1,T5
L.2.1.1,T21
L.2.1.1,T13
L.2.1.1,T33
L.2.1.1,T7
L.2.1.1,T8
L.2.1.1,T88
L.2.1.1,T48
L.2.2,T56
L.2.2,T72
L.2.2,T76
L.2.2,T58
L.2.2,T1
L.2.2,T59
L.2.2,T43
L.2.2,T16
L.2.2,T26
L.2.2,T19
L.2.2,T37
L.2.2,T80
L.2.2,T20
L.2.2,T96
L.2.2,T30
L.2.2,T12
L.2.2,T78
L.2.2.1,T37
L.2.2.1,T19
L.2.2.1,T26
L.2.2.1,T16
L.2.2.1,T43
L.2.2.1,T59
L.2.2.1,T56
L.2.2.1,T58
L.2.2.1,T76
L.2.2.1,T12
L.2.2.1,T72
L.3,T14
L.3,T83
L.3,T22
L.3,T73
L.3,T36
L.3,T75
L.3,T92
L.3,T93
L.3,T9
L.3,T89
L.3,T15
L.3,T71
L.3,T6
L.3,T49
L.2XL.2.1,L.2XL.2.1_low_1
L.1.1XL.2.1.1,L.1.1XL.2.1.1_high_1
L.2.1.1XL.2.2,L.2.1.1XL.2.2_high_1
