Lineage,Tip
L.1,T83
L.1,T32
L.1,T42
L.1,T44
L.1,T64
L.1,T75
L.1,T31
L.1,T2
L.1,T99
L.1,T91
L.1,T46
L.1,T38
L.1,T62
L.1,T19
L.1,T51
L.1,T52
L.1,T95
L.1,T35
L.1,T60
L.1,T65
L.1,T57
L.1,T23
L.1,T1
L.1,T88
L.1,T93
L.1,T89
L.1,T86
L.1,T49
L.1,T68
L.1,T33
L.1,T74
L.1,T16
L.1,T11
L.1,T12
L.1,T47
L.1,T73
L.1,T9
L.1,T54
L.1,T30
L.1,T55
L.1,T82
L.1,T21
L.1,T37
L.1,T85
L.1,T92
L.1,T53
L.1.1,T99
L.1.1,T91
L.1.1,T62
L.1.1,T23
L.1.1,T2
L.1.1,T38
L.1.1,T31
L.1.1,T44
L.1.1,T64
L.1.1,T42
L.1.1,T32
L.1.1,T46
L.1.1,T1
L.1.1,T75
L.2,T100
L.2,T59
L.2,T97
L.2,T29
L.2,T22
L.2,T4
L.2,T63
L.2,T90
L.2,T80
L.2,T84
L.2,T66
L.2,T14
L.2,T10
L.2,T17
L.2,T34
L.2,T79
L.2,T48
L.2,T77
L.2,T3
L.2,T25
L.2,T98
L.2,T39
L.2,T26
L.2,T81
L.2,T61
L.2,T76
L.2,T94
L.2,T67
L.2,T24
L.2,T20
L.2,T7
L.2,T50
L.2,T69
L.2,T71
L.2,T56
L.2,T36
L.2.1,T98
L.2.1,T77
L.2.1,T79
L.2.1,T100
L.2.1,T59
L.2.1,T97
L.2.1,T29
L.2.1,T63
L.2.1,T4
L.2.1,T90
L.2.1,T48
L.2.1,T84
L.2.1,T80
L.2.1,T66
L.2.1,T22
L.2.1,T25
L.2.1,T71
L.2.1,T69
L.2.1,T56
L.2.1.1,T84
L.2.1.1,T48
L.2.1.1,T90
L.2.1.1,T63
L.2.1.1,T4
L.2.1.1,T22
L.2.1.1,T29
L.2.1.1,T97
L.2.1.1,T59
L.2.1.1,T100
L.2.1.1,T79
L.2.1.1,T77
L.2.1.1,T98
L.2.1.1,T80
L.2.1.1,T66
L.2.2,T39
L.2.2,T26
L.2.2,T81
L.2.2,T61
L.2.2,T76
L.2.2,T94
L.2.2,T67
L.2.2,T36
L.2.2,T20
L.2.2,T7
L.2.2,T3
L.2.2,T50
L.2.2,T24
L.2.1.1XL.2.2,L.2.1.1XL.2.2_low_1
L.2.1XL.2.2,L.2.1XL.2.2_high_1
