Lineage,Tip
L.1,T2
L.1,T17
L.1,T93
L.1,T57
L.1,T84
L.1,T36
L.1,T37
L.1,T31
L.1,T42
L.1,T81
L.1,T75
L.1,T22
L.1,T96
L.1,T80
L.1,T1
L.1,T8
L.1,T43
L.1,T47
L.1,T88
L.1,T39
L.1,T38
L.1,T53
L.1,T70
L.1,T10
L.1,T21
L.1,T4
L.1,T33
L.1,T30
L.1.1,T39
L.1.1,T88
L.1.1,T38
L.1.1,T53
L.1.1,T70
L.1.1,T10
L.1.1,T21
L.1.1,T4
L.1.1,T30
L.1.1,T2
L.1.1,T33
L.2,T34
L.2,T54
L.2,T26
L.2,T66
L.2,T3
L.2,T100
L.2,T29
L.2,T98
L.2,T23
L.2,T45
L.2,T9
L.2,T82
L.2,T58
L.2,T91
L.2,T62
L.2,T24
L.2,T14
L.2,T87
L.2,T48
L.2,T27
L.2,T94
L.2,T55
L.2,T15
L.2,T19
L.2.1,T3
L.2.1,T62
L.2.1,T91
L.2.1,T58
L.2.1,T82
L.2.1,T9
L.2.1,T45
L.2.1,T23
L.2.1,T15
L.2.1,T98
L.2.1,T100
L.2.1,T66
L.2.1,T26
L.2.1,T54
L.2.1,T24
L.3,T69
L.3,T13
L.3,T6
L.3,T35
L.3,T97
L.3,T59
L.3,T52
L.3,T25
L.3,T50
L.3,T78
L.3,T20
L.3,T61
L.3,T60
L.3,T76
L.3,T44
L.3,T99
L.3,T16
L.3,T12
L.3,T73
L.3,T7
L.3,T41
L.3,T32
L.3,T11
L.3,T18
L.3,T49
L.3,T64
L.3,T5
L.3,T77
L.3,T40
L.3.1,T64
L.3.1,T41
L.3.1,T49
L.3.1,T18
L.3.1,T11
L.3.1,T32
L.3.1,T7
L.3.1,T73
L.3.1,T12
L.3.1,T16
L.3.1,T99
L.3.1,T77
L.3.2,T69
L.3.2,T50
L.3.2,T13
L.3.2,T25
L.3.2,T52
L.3.2,T59
L.3.2,T40
L.3.2,T44
L.3.2,T35
L.3.2,T97
L.3.2,T6
L.4,T89
L.4,T28
L.4,T74
L.4,T71
L.4,T90
L.4,T68
L.4,T46
L.4,T95
L.4,T86
L.4,T85
L.4,T79
L.4,T63
L.1.1XL.4,L.1.1XL.4_low_1
L.1XL.2,L.1XL.2_high_1
L.1XL.1.1,L.1XL.1.1_high_1
