Lineage,Tip
L.1,T66
L.1,T50
L.1,T64
L.1,T14
L.1,T2
L.1,T88
L.1,T10
L.1,T16
L.1,T29
L.1,T47
L.1,T82
L.1,T32
L.1,T34
L.1,T92
L.1,T8
L.1,T27
L.1,T45
L.1.1,T8
L.1.1,T27
L.1.1,T92
L.1.1,T32
L.1.1,T88
L.1.1,T82
L.1.1,T47
L.1.1,T29
L.1.1,T16
L.1.1,T66
L.1.1,T10
L.2,T87
L.2,T84
L.2,T17
L.2,T9
L.2,T52
L.2,T40
L.2,T11
L.2,T30
L.2,T41
L.2,T58
L.2,T57
L.2,T56
L.3,T43
L.3,T59
L.3,T68
L.3,T80
L.3,T61
L.3,T62
L.3,T15
L.3,T69
L.3,T44
L.3,T53
L.3,T77
L.4,T20
L.4,T86
L.4,T60
L.4,T5
L.4,T26
L.4,T94
L.4,T97
L.4,T93
L.4,T89
L.4,T13
L.4,T74
L.5,T100
L.5,T36
L.5,T98
L.5,T35
L.5,T3
L.5,T12
L.5,T39
L.5,T96
L.5,T99
L.5,T79
L.5,T4
L.5,T19
L.5,T90
L.5,T70
L.5,T49
L.5,T48
L.5,T23
L.5,T81
L.5.1,T12
L.5.1,T36
L.5.1,T98
L.5.1,T100
L.5.1,T79
L.5.1,T49
L.5.1,T99
L.5.1,T35
L.5.1,T39
L.5.1,T3
L.5.1,T96
L.1.1XL.4,L.1.1XL.4_low_1
L.1XL.5.1,L.1XL.5.1_high_1
